id,label,name,frequency,modules,phase_mode,competence_mode,granularity_mode
M1,Module,Modul_1 Einführung in psychische Traumatisierung_modifiziert_fuer_bessere_Maschinenlesbarkeit,0,0,,,
M2,Module,Modul_2 Trauma & Flucht,0,0,,,
M3,Module,Modul_3 Psychodynamik der Traumatisierung & das Verlaufsmodell nach Fischer,0,0,,,
M4,Module,Modul_4 Psychologische Erste Hilfe für Geflüchtete (1),0,0,,,
M5,Module,Modul_5 Traumatisierte Kinder & Familien begleiten,0,0,,,
M6,Module,"Modul_6 Übertragung, Gegenübertragung & Grenzen im Umgang mit Traumatisierten",0,0,,,
M7,Module,Modul_7 Komplexe Traumatisierung & Langzeitfolgen,0,0,,,
M8,Module,Modul_8 Geschlechtsspezifische Gewalt (GBV) & Flucht,0,0,,,
M9,Module,"Modul_9 Gemeinschaftsbasierte Gewalt, Rassismus & psychosoziale Unterstützung",0,0,,,
M10,Module,Modul_10 Trauma und Migration & Kultursensible Arbeit,0,0,,,
M1::slide_1,Slide,M1 / slide 1,0,0,,,
M1::slide_2,Slide,M1 / slide 2,0,0,,,
M1::slide_3,Slide,M1 / slide 3,0,0,,,
M1::slide_4,Slide,M1 / slide 4,0,0,,,
M1::slide_5,Slide,M1 / slide 5,0,0,,,
M1::slide_6,Slide,M1 / slide 6,0,0,,,
M1::slide_7,Slide,M1 / slide 7,0,0,,,
M1::slide_8,Slide,M1 / slide 8,0,0,,,
M1::slide_9,Slide,M1 / slide 9,0,0,,,
M1::slide_10,Slide,M1 / slide 10,0,0,,,
M1::slide_11,Slide,M1 / slide 11,0,0,,,
M1::slide_12,Slide,M1 / slide 12,0,0,,,
M1::slide_13,Slide,M1 / slide 13,0,0,,,
M1::slide_14,Slide,M1 / slide 14,0,0,,,
M1::slide_15,Slide,M1 / slide 15,0,0,,,
M1::slide_16,Slide,M1 / slide 16,0,0,,,
M1::slide_17,Slide,M1 / slide 17,0,0,,,
M1::slide_18,Slide,M1 / slide 18,0,0,,,
M1::slide_19,Slide,M1 / slide 19,0,0,,,
M1::slide_20,Slide,M1 / slide 20,0,0,,,
M1::slide_22,Slide,M1 / slide 22,0,0,,,
M1::slide_23,Slide,M1 / slide 23,0,0,,,
M1::slide_24,Slide,M1 / slide 24,0,0,,,
M1::slide_25,Slide,M1 / slide 25,0,0,,,
M1::slide_26,Slide,M1 / slide 26,0,0,,,
M1::slide_27,Slide,M1 / slide 27,0,0,,,
M1::slide_28,Slide,M1 / slide 28,0,0,,,
M1::slide_29,Slide,M1 / slide 29,0,0,,,
M1::slide_30,Slide,M1 / slide 30,0,0,,,
M1::slide_31,Slide,M1 / slide 31,0,0,,,
M1::slide_32,Slide,M1 / slide 32,0,0,,,
M1::slide_33,Slide,M1 / slide 33,0,0,,,
M1::slide_34,Slide,M1 / slide 34,0,0,,,
M1::slide_35,Slide,M1 / slide 35,0,0,,,
M1::slide_36,Slide,M1 / slide 36,0,0,,,
M1::slide_37,Slide,M1 / slide 37,0,0,,,
M1::slide_38,Slide,M1 / slide 38,0,0,,,
M1::slide_39,Slide,M1 / slide 39,0,0,,,
M1::slide_40,Slide,M1 / slide 40,0,0,,,
M1::slide_41,Slide,M1 / slide 41,0,0,,,
M1::slide_42,Slide,M1 / slide 42,0,0,,,
M2::slide_1,Slide,M2 / slide 1,0,0,,,
M2::slide_2,Slide,M2 / slide 2,0,0,,,
M2::slide_3,Slide,M2 / slide 3,0,0,,,
M2::slide_4,Slide,M2 / slide 4,0,0,,,
M2::slide_5,Slide,M2 / slide 5,0,0,,,
M2::slide_6,Slide,M2 / slide 6,0,0,,,
M2::slide_7,Slide,M2 / slide 7,0,0,,,
M2::slide_8,Slide,M2 / slide 8,0,0,,,
M2::slide_9,Slide,M2 / slide 9,0,0,,,
M2::slide_10,Slide,M2 / slide 10,0,0,,,
M2::slide_11,Slide,M2 / slide 11,0,0,,,
M2::slide_12,Slide,M2 / slide 12,0,0,,,
M2::slide_13,Slide,M2 / slide 13,0,0,,,
M2::slide_14,Slide,M2 / slide 14,0,0,,,
M2::slide_15,Slide,M2 / slide 15,0,0,,,
M2::slide_16,Slide,M2 / slide 16,0,0,,,
M2::slide_17,Slide,M2 / slide 17,0,0,,,
M2::slide_18,Slide,M2 / slide 18,0,0,,,
M2::slide_19,Slide,M2 / slide 19,0,0,,,
M2::slide_20,Slide,M2 / slide 20,0,0,,,
M2::slide_21,Slide,M2 / slide 21,0,0,,,
M2::slide_22,Slide,M2 / slide 22,0,0,,,
M2::slide_23,Slide,M2 / slide 23,0,0,,,
M2::slide_24,Slide,M2 / slide 24,0,0,,,
M2::slide_25,Slide,M2 / slide 25,0,0,,,
M2::slide_26,Slide,M2 / slide 26,0,0,,,
M2::slide_27,Slide,M2 / slide 27,0,0,,,
M2::slide_28,Slide,M2 / slide 28,0,0,,,
M2::slide_29,Slide,M2 / slide 29,0,0,,,
M2::slide_30,Slide,M2 / slide 30,0,0,,,
M2::slide_31,Slide,M2 / slide 31,0,0,,,
M2::slide_32,Slide,M2 / slide 32,0,0,,,
