id,label,name,frequency,modules,phase_mode,competence_mode,granularity_mode
M1,Module,Modul_1 Einführung in psychische Traumatisierung_modifiziert_fuer_bessere_Maschinenlesbarkeit,,,,,
M2,Module,Modul_2 Trauma & Flucht,,,,,
M3,Module,Modul_3 Psychodynamik der Traumatisierung & das Verlaufsmodell nach Fischer,,,,,
M4,Module,Modul_4 Psychologische Erste Hilfe für Geflüchtete (1),,,,,
M5,Module,Modul_5 Traumatisierte Kinder & Familien begleiten,,,,,
M6,Module,"Modul_6 Übertragung, Gegenübertragung & Grenzen im Umgang mit Traumatisierten",,,,,
M7,Module,Modul_7 Komplexe Traumatisierung & Langzeitfolgen,,,,,
M8,Module,Modul_8 Geschlechtsspezifische Gewalt (GBV) & Flucht,,,,,
M9,Module,"Modul_9 Gemeinschaftsbasierte Gewalt, Rassismus & psychosoziale Unterstützung",,,,,
M10,Module,Modul_10 Trauma und Migration & Kultursensible Arbeit,,,,,
M1::slide_1,Slide,M1 / slide 1,,,,,
M1::slide_2,Slide,M1 / slide 2,,,,,
M1::slide_3,Slide,M1 / slide 3,,,,,
M1::slide_4,Slide,M1 / slide 4,,,,,
M1::slide_5,Slide,M1 / slide 5,,,,,
M1::slide_6,Slide,M1 / slide 6,,,,,
M1::slide_7,Slide,M1 / slide 7,,,,,
M1::slide_8,Slide,M1 / slide 8,,,,,
M1::slide_9,Slide,M1 / slide 9,,,,,
M1::slide_10,Slide,M1 / slide 10,,,,,
M1::slide_11,Slide,M1 / slide 11,,,,,
M1::slide_12,Slide,M1 / slide 12,,,,,
M1::slide_13,Slide,M1 / slide 13,,,,,
M1::slide_14,Slide,M1 / slide 14,,,,,
M1::slide_15,Slide,M1 / slide 15,,,,,
M1::slide_16,Slide,M1 / slide 16,,,,,
M1::slide_17,Slide,M1 / slide 17,,,,,
M1::slide_18,Slide,M1 / slide 18,,,,,
M1::slide_19,Slide,M1 / slide 19,,,,,
M1::slide_20,Slide,M1 / slide 20,,,,,
M1::slide_22,Slide,M1 / slide 22,,,,,
M1::slide_23,Slide,M1 / slide 23,,,,,
M1::slide_24,Slide,M1 / slide 24,,,,,
M1::slide_25,Slide,M1 / slide 25,,,,,
M1::slide_26,Slide,M1 / slide 26,,,,,
M1::slide_27,Slide,M1 / slide 27,,,,,
M1::slide_28,Slide,M1 / slide 28,,,,,
M1::slide_29,Slide,M1 / slide 29,,,,,
M1::slide_30,Slide,M1 / slide 30,,,,,
M1::slide_31,Slide,M1 / slide 31,,,,,
M1::slide_32,Slide,M1 / slide 32,,,,,
